CODGEO;POPU;MEDECINS
01308;808,0;0,00
01309;90,0;0,00
01310;224,0;0,00
01311;39,0;0,00
01312;230,0;0,00
01313;6806,0;17,00
01314;1521,0;6,00
01316;175,0;0,00
01317;254,0;0,00
01318;649,0;0,00
01319;473,0;0,00
01320;3601,0;5,00
01321;830,0;0,00
01322;4202,0;15,00
01323;954,0;0,00
01325;953,0;0,00
01328;590,0;0,00
01329;150,0;0,00
01330;202,0;0,00
01331;164,0;0,00
01332;669,0;0,00
01333;2975,0;17,00
01334;541,0;0,00
01335;327,0;0,00
01336;1091,0;2,00
01337;1185,0;0,00
01338;792,0;0,00
01339;1386,0;1,00
01340;127,0;0,00
01341;144,0;0,00
01342;530,0;0,00
01343;1674,0;2,00
01344;5492,0;20,00
01345;2154,0;4,00
01346;876,0;0,00
01347;1775,0;1,00
01348;2768,0;6,00
01349;419,0;0,00
01350;2465,0;5,00
01351;1479,0;0,00
01352;540,0;0,00
01353;1531,0;0,00
01354;9186,0;35,00
01355;428,0;0,00
01356;203,0;0,00
01357;477,0;0,00
01358;397,0;0,00
01359;233,0;0,00
01360;1498,0;4,00
01361;1429,0;0,00
01362;757,0;2,00
01363;1606,0;3,00
01364;738,0;0,00
01365;1087,0;0,00
01366;912,0;0,00
01367;709,0;6,00
01368;727,0;0,00
01369;883,0;7,00
01370;1760,0;3,00
01371;1205,0;0,00
01372;436,0;0,00
01373;1093,0;5,00
01374;1681,0;0,00
01375;792,0;0,00
01376;3864,0;16,00
01378;2475,0;9,00
01379;714,0;0,00
01380;694,0;0,00
01381;884,0;0,00
01382;299,0;0,00
01383;1526,0;6,00
01384;2191,0;8,00
01385;942,0;1,00
01386;1055,0;2,00
01387;155,0;0,00
01388;1047,0;6,00
01389;1847,0;6,00
01390;954,0;0,00
01391;287,0;0,00
01392;704,0;0,00
01393;521,0;0,00
01396;1040,0;2,00
01397;1083,0;1,00
01398;1213,0;1,00
01399;1706,0;2,00
01400;139,0;0,00
01401;2005,0;0,00
01402;674,0;0,00
01403;1231,0;4,00
01404;122,0;0,00
01405;1186,0;0,00
01406;163,0;0,00
01407;933,0;4,00
01408;664,0;0,00
01409;130,0;0,00
01410;315,0;0,00
01411;263,0;0,00
01412;562,0;0,00
01413;77,0;0,00
01414;241,0;0,00
01415;423,0;0,00
01416;1103,0;3,00
01417;321,0;1,00
01418;1050,0;1,00
01419;5461,0;11,00
01420;1558,0;11,00
01421;694,0;0,00
01422;1389,0;5,00
01423;783,0;0,00
01424;1657,0;1,00
01425;302,0;0,00
01426;2254,0;8,00
01427;6687,0;44,00
01428;90,0;0,00
01429;636,0;0,00
01430;519,0;0,00
01431;1184,0;0,00
01432;253,0;0,00
01433;299,0;0,00
01434;332,0;0,00
01435;2130,0;2,00
01436;529,0;0,00
01437;210,0;0,00
01439;95,0;0,00
01441;688,0;0,00
01442;380,0;0,00
01443;4411,0;23,00
01444;1160,0;0,00
01445;634,0;0,00
01446;1396,0;0,00
01447;1211,0;5,00
01448;374,0;0,00
01449;678,0;0,00
01450;3174,0;8,00
01451;6083,0;20,00
01452;1174,0;4,00
01453;307,0;0,00
01454;882,0;0,00
01456;76,0;0,00
01457;2844,0;10,00
02001;536,0;0,00
02002;608,0;0,00
02003;989,0;0,00
02004;205,0;0,00
02005;371,0;0,00
02006;283,0;0,00
02007;113,0;0,00
02008;301,0;0,00
02009;511,0;1,00
02010;178,0;0,00
02011;1135,0;4,00
02012;63,0;0,00
02013;416,0;0,00
02014;739,0;0,00
02015;77,0;0,00
02016;187,0;0,00
02017;298,0;0,00
02018;1912,0;9,00
02019;386,0;0,00
02020;474,0;0,00
02021;85,0;0,00
02022;421,0;0,00
02023;101,0;0,00
02024;53,0;0,00
02025;360,0;0,00
02026;193,0;0,00
02027;279,0;0,00
02028;2631,0;10,00
02029;378,0;0,00
02030;304,0;0,00
02031;695,0;6,00
02032;240,0;0,00
02033;113,0;0,00
02034;103,0;0,00
02035;278,0;0,00
02036;91,0;0,00
02037;1336,0;1,00
02038;74,0;0,00
02039;182,0;0,00
02040;184,0;0,00
02041;824,0;1,00
02042;396,0;0,00
02043;72,0;0,00
02044;29,0;0,00
02046;578,0;0,00
02047;131,0;0,00
02048;118,0;0,00
02049;728,0;0,00
02050;308,0;0,00
02051;386,0;0,00
02052;136,0;0,00
02053;275,0;0,00
02054;464,0;0,00
02055;98,0;0,00
02056;166,0;0,00
02057;1498,0;3,00
02058;785,0;3,00
02059;2658,0;3,00
02060;280,0;0,00
02061;283,0;0,00
02062;139,0;0,00
02063;385,0;0,00
02064;3867,0;8,00
02065;635,0;1,00
02066;214,0;0,00
02067;219,0;0,00
02068;105,0;0,00
02069;124,0;0,00
02070;453,0;0,00
02071;622,0;0,00
02072;181,0;0,00
02073;588,0;0,00
02074;615,0;0,00
02075;210,0;0,00
02076;163,0;0,00
02077;400,0;0,00
02078;157,0;0,00
02079;155,0;0,00
02080;370,0;0,00
02081;447,0;0,00
02082;118,0;0,00
02083;722,0;0,00
02084;259,0;0,00
02085;977,0;0,00
02086;1053,0;0,00
02087;30,0;0,00
02088;71,0;0,00
02089;1102,0;2,00
02090;215,0;0,00
02091;93,0;0,00
02093;1245,0;7,00
02094;384,0;0,00
02095;5921,0;23,00
02096;188,0;0,00
02097;254,0;0,00
02098;396,0;0,00
02099;248,0;0,00
02100;140,0;0,00
02101;207,0;0,00
02102;194,0;0,00
02103;1276,0;2,00
02104;104,0;0,00
02105;202,0;0,00
02106;787,0;2,00
02107;92,0;0,00
02108;140,0;0,00
02109;499,0;0,00
02110;2196,0;16,00
02111;692,0;0,00
02112;620,0;1,00
02114;1355,0;1,00
02115;223,0;0,00
02116;132,0;0,00
02117;77,0;0,00
02118;121,0;0,00
02119;352,0;0,00
02120;197,0;0,00
02121;262,0;0,00
02122;59,0;0,00
02123;307,0;0,00
02124;640,0;0,00
02125;221,0;0,00
02126;530,0;4,00
02127;202,0;0,00
02128;1572,0;5,00
02129;19,0;0,00
02130;191,0;0,00
02131;1940,0;7,00
02132;192,0;0,00
02133;419,0;0,00
02134;882,0;0,00
02135;1189,0;4,00
02136;136,0;0,00
02137;125,0;0,00
02138;186,0;0,00
02139;428,0;0,00
02140;444,0;0,00
02141;1838,0;11,00
02142;234,0;0,00
02143;195,0;1,00
02144;138,0;0,00
02145;570,0;0,00
02146;77,0;0,00
02147;115,0;0,00
02148;252,0;0,00
02149;58,0;0,00
02150;73,0;0,00
02151;114,0;0,00
02152;92,0;0,00
02153;482,0;0,00
02154;313,0;0,00
02155;185,0;0,00
02156;226,0;0,00
02157;735,0;0,00
02158;263,0;0,00
02159;290,0;0,00
02160;525,0;0,00
02161;188,0;0,00
02162;283,0;0,00
02163;2711,0;18,00
02164;323,0;0,00
02165;1651,0;1,00
02166;364,0;0,00
02167;807,0;0,00
02168;14413,0;97,00
02169;85,0;0,00
02170;126,0;0,00
02171;88,0;0,00
02172;258,0;0,00
02173;11771,0;63,00
02174;760,0;0,00
02175;146,0;0,00
02176;191,0;0,00
02177;123,0;0,00
02178;101,0;0,00
02179;339,0;0,00
02180;676,0;0,00
02181;107,0;0,00
02182;141,0;0,00
02183;194,0;0,00
02184;363,0;0,00
02185;362,0;0,00
02186;1320,0;13,00
02187;1048,0;0,00
02188;146,0;0,00
02189;370,0;0,00
02190;584,0;2,00
02191;504,0;0,00
02192;395,0;0,00
02193;73,0;0,00
02194;223,0;0,00
02195;878,0;0,00
02196;341,0;0,00
02197;571,0;0,00
02198;222,0;0,00
02199;615,0;0,00
02200;123,0;0,00
02201;462,0;0,00
02203;1312,0;3,00
02204;75,0;0,00
02205;183,0;0,00
02206;76,0;0,00
02207;193,0;0,00
02208;263,0;0,00
02209;659,0;7,00
02210;417,0;0,00
02211;222,0;0,00
02212;711,0;0,00
02213;320,0;0,00
02214;64,0;0,00
02215;746,0;2,00
02216;315,0;0,00
02217;1064,0;4,00
02218;587,0;0,00
02219;214,0;0,00
02220;429,0;0,00
02221;196,0;0,00
02222;34,0;0,00
02223;300,0;0,00
02224;355,0;0,00
02225;90,0;0,00
02226;1708,0;2,00
02227;110,0;0,00
02228;293,0;0,00
02229;64,0;0,00
02230;191,0;0,00
02231;1324,0;0,00
02232;391,0;0,00
02233;131,0;0,00
02234;77,0;0,00
02235;109,0;0,00
02236;286,0;0,00
02237;1464,0;9,00
02238;1921,0;4,00
02239;1125,0;2,00
02240;225,0;0,00
02241;124,0;0,00
02242;644,0;0,00
02243;2708,0;5,00
02244;71,0;0,00
02245;1739,0;4,00
02246;578,0;0,00
02248;161,0;0,00
02249;109,0;0,00
02250;79,0;0,00
02251;37,0;0,00
02252;65,0;0,00
02253;324,0;0,00
02254;118,0;0,00
02255;154,0;0,00
02256;135,0;0,00
02257;392,0;0,00
02258;411,0;0,00
02259;426,0;0,00
02260;580,0;0,00
02261;368,0;0,00
02262;239,0;0,00
02263;117,0;0,00
02264;789,0;4,00
02265;99,0;0,00
02266;57,0;0,00
02267;289,0;0,00
02268;670,0;0,00
02269;156,0;0,00
02270;151,0;0,00
02271;147,0;0,00
02272;74,0;0,00
02273;198,0;0,00
02274;210,0;0,00
02275;348,0;0,00
02276;125,0;0,00
